Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
lootItem,,Pick up prompt,,,"Press [43CF7C]{0}[-] to pick up [FFAD1F]{1}[-]",,"Drücke [43CF7C]{0}[-], um [FFAD1F]{1}[-] aufzuheben","Pulsa [43CF7C]{0}[-] para coger [FFAD1F]{1}[-]","Appuyer sur [43CF7C]{0}[-] pour ramasser : [FFAD1F]{1}[-]","Premi [43CF7C]{0}[-] per raccogliere [FFAD1F]{1}[-]","[43CF7C]{0}[-]を押して[FFAD1F]{1}[-]を拾う","[43CF7C]{0}[-]을(를) 눌러 [FFAD1F]{1}[-] 집어들기","Przyciśnij [43CF7C]{0}[-], aby podnieść [FFAD1F]{1}[-]","Aperte [43CF7C]{0}[-] para pegar [FFAD1F]{1}[-]","Нажмите [43CF7C]{0}[-], чтобы подобрать предмет [FFAD1F]{1}[-]","[FFAD1F]{1}[-] Almak için [43CF7C]{0}[-] tuşuna bas","按下[43CF7C]{0}[-]拾取[FFAD1F]{1}[-]","按下 [43CF7C]{0}[-] 撿起 [FFAD1F]{1}[-]"
lootTooltipEmpty,UI,Use Prompt,,,"{1} [FFAD1F](Empty)",,"{1} [FFAD1F](Leere)","{1} [FFAD1F](Vacío)","{1} [FFAD1F](Vider)","{1} [FFAD1F](Vuoto)","{1} [FFAD1F](を空にする)","{1} [FFAD1F](빈 )","{1} [FFAD1F](Puste)","{1} [FFAD1F](Esvaziar)","{1}: [FFAD1F](пусто)","{1} [FFAD1F](Boş)","{1}  [FFAD1F]- 空","{1} [FFAD1F]空的"
lootTooltipNew,UI,Use Prompt,,,"[43CF7C]{0}[-] Search {1} [43CF7C](Untouched)",,"[43CF7C]{0}[-] Durchsuche {1} [43CF7C](Unberührt)","[43CF7C]{0}[-] Buscar {1} [43CF7C](intacto)","[43CF7C]{0}[-] Fouiller {1} [43CF7C](intact)","[43CF7C]{0}[-] esamina {1} [43CF7C](intatto)","[43CF7C]{0}[-]が{1}を調べる [43CF7C]（未使用）","[43CF7C]{0}[-] {1} 수색[43CF7C](손대지 않음)","[43CF7C]{0}[-] Przeszukaj: {1} [43CF7C](nienaruszone)","[43CF7C]{0}[-] Buscar {1} [43CF7C](intocado)","[43CF7C]{0}[-]: обыскать ({1})[43CF7C] (нетронуто)","[43CF7C]{0}[-] Ara: {1} [43CF7C](Dokunulmamış)","[43CF7C]{0}[-]搜索{1}[43CF7C]（未触碰过）","[43CF7C]{0}[-]搜索{1}[43CF7C]（未觸碰）"
lootTooltipTouched,UI,Use Prompt,,,"[43CF7C]{0}[-] Search {1} ",,"[43CF7C]{0}[-] Durchsuche {1}","[43CF7C]{0}[-] Buscar {1}","[43CF7C]{0}[-] Fouiller {1}","[43CF7C]{0}[-] esamina {1}","[43CF7C]{0}[-]が{1}を調べる","[43CF7C]{0}[-] {1} 수색","[43CF7C]{0}[-] Przeszukaj: {1}","[43CF7C]{0}[-] Buscar {1}","[43CF7C]{0}[-]: обыскать ({1})","[43CF7C]{0}[-] Ara: {1}","[43CF7C]{0}[-]搜索{1}","[43CF7C]{0}[-]搜索{1}"
npcTooltipTalk,UI,Tooltip,,,"Press [43CF7C]{0}[-] to talk to [FFAD1F]{1}[-]",,"[43CF7C]{0}[-]-Taste drücken, um mit [FFAD1F]{1}[-] zu reden","Pulsa [43CF7C]{0}[-] para hablar con [FFAD1F]{1}[-]","Appuyer sur [43CF7C]{0}[-] pour parler à [FFAD1F]{1}[-]","Premi [43CF7C]{0}[-] per parlare con [FFAD1F]{1}[-]","[43CF7C]{0}[-]を押して[FFAD1F]{1}[-]と話す","[43CF7C]{0}[-]을(를) 눌러 [FFAD1F]{1}[-] 에게 말걸기","Przyciśnij [43CF7C]{0}[-], aby rozmawiać: [FFAD1F]{1}[-]","Aperte [43CF7C]{0}[-] para falar com [FFAD1F]{1}[-]","Нажмите [43CF7C]{0}[-], чтобы поговорить с персонажем [FFAD1F]{1}[-]","[FFAD1F]{1}[-] ile konuşmak için [43CF7C]{0}[-] tuşuna bas","按下[43CF7C]{0}[-]与[FFAD1F]{1}[-]对话","按下 [43CF7C]{0}[-] 進行交談[FFAD1F]{1}[-]"
pickupCrops,UI,HUD,,,"Press [43CF7C]{{0}}[-] to pick up: [FFAD1F]{0}[43CF7C]{1}",,"Drücke [43CF7C]{{0}}[-], um [FFAD1F]{0}[43CF7C]{1} aufzuheben","Pulsa [43CF7C]{{0}}[-] para coger: [FFAD1F]{0}[43CF7C]{1}","Appuyer sur [43CF7C]{{0}}[-] pour ramasser : [FFAD1F]{0}[43CF7C]{1}","Premi [43CF7C]{{0}}[-] per raccogliere: [FFAD1F]{0}[43CF7C]{1}","[43CF7C]{{0}}[-] を押して拾う： [FFAD1F]{0}[43CF7C]{1}","[43CF7C]{{0}}[-]을(를) 눌러 집어들기:[FFAD1F]{0}[43CF7C]{1}","Przyciśnij [43CF7C]{{0}}[-], aby podnieść: [FFAD1F]{0}[43CF7C]{1}","Aperte [43CF7C]{{0}}[-] para pegar: [FFAD1F]{0}[43CF7C]{1}","Нажмите [43CF7C]{{0}}[-], чтобы подобрать: [FFAD1F]{0}[43CF7C]{1}","[43CF7C]{{0}}[-] tuşuna basarak al: [FFAD1F]{0}[43CF7C]{1}","按下[43CF7C]{{0}}[-]拾取：[FFAD1F]{0}[43CF7C]{1}","按 [43CF7C]{{0}}[-] 撿起[FFAD1F]{0}[43CF7C]{1}"
pickupPrompt,UI,HUD,,,"Press [43CF7C]{{0}}[-] to pick up: [FFAD1F]{0}[-]",,"Drücke [43CF7C]{{0}}[-], um [FFAD1F]{0}[-] aufzuheben","Pulsa [43CF7C]{{0}}[-] para coger: [FFAD1F]{0}[-]","Appuyer sur [43CF7C]{{0}}[-] pour ramasser : [FFAD1F]{0}[-]","Premi [43CF7C]{{0}}[-] per raccogliere: [FFAD1F]{0}[-]","[43CF7C]{{0}}[-] を押して拾う： [FFAD1F]{0}[-]","[43CF7C]{{0}}[-]을(를) 눌러 집어들기:[FFAD1F]{0}[-]","Przyciśnij [43CF7C]{{0}}[-], aby podnieść: [FFAD1F]{0}[-]","Aperte [43CF7C]{{0}}[-] para pegar: [FFAD1F]{0}[-]","Нажмите [43CF7C]{{0}}[-], чтобы подобрать: [FFAD1F]{0}[-]","[43CF7C]{{0}}[-] tuşuna basarak al: [FFAD1F]{0}[-]","按下[43CF7C]{{0}}[-]拾取：[FFAD1F]{0}[-]","按 [43CF7C]{{0}}[-] 撿起[FFAD1F]{0}[-]"
questBlockActivate,UI,Use Prompt,,,"Press [43CF7C]{{0}}[-] to Activate: [FFAD1F]{1}[-]",,"Drücke [43CF7C]{{0}}[-] zum Aktivieren von: [FFAD1F]{1}[-]","Pulsa [43CF7C]{{0}}[-] para Activar: [FFAD1F]{1}[-]","Appuyer sur [43CF7C]{{0}}[-] pour activer : [FFAD1F]{1}[-]","Premi [43CF7C]{{0}}[-] per attivare: [FFAD1F]{1}[-]","[43CF7C]{{0}}[-] を押して作動させる： [FFAD1F]{1}[-]","[43CF7C]{{0}}[-]을(를) 눌러 활성화: [FFAD1F]{1}[-]","Przyciśnij [43CF7C]{{0}}[-], aby aktywować: [FFAD1F]{1}[-]","Aperte [43CF7C]{{0}}[-] para ativar: [FFAD1F]{1}[-]","Нажмите [43CF7C]{{0}}[-], чтобы задействовать: [FFAD1F]{1}[-]","[43CF7C]{{0}}[-] tuşuna basarak Etkinleştir: [FFAD1F]{1}[-]","按 [43CF7C]{{0}}[-] 激活： [FFAD1F]{1}[-]","按 [43CF7C]{{0}}[-] 激活[FFAD1F]{1}[-]"
questRallyActivate,UI,Use Prompt,,,"Press {{0}} to Start Quest: [FFAD1F]{1}[-]",,"Drücke {{0}} zum Starten der Quest: [FFAD1F]{1}[-]","Pulsar {{0}} para Iniciar misión: [FFAD1F]{1}[-]","Appuyer sur {{0}} pour lancer la quête : [FFAD1F]{1}[-]","Premi {{0}} per iniziare missione: [FFAD1F]{1}[-]","{{0}} を押してクエストを開始： [FFAD1F]{1}[-]","{{0}}을(를) 눌러 퀘스트 시작: [FFAD1F]{1}[-]","Przyciśnij {{0}}, aby rozpocząć zadanie: [FFAD1F]{1}[-]","Aperte {{0}} para iniciar a missão: [FFAD1F]{1}[-]","Нажмите {{0}}, чтобы начать задание: [FFAD1F]{1}[-]","{{0}} tuşuna basarak Görevi Başlat: [FFAD1F]{1}[-]","按 {{0}} 开始任务： [FFAD1F]{1}[-]","按 {{0}} 激活任務：[FFAD1F]{1}[-]"
tooltipInteract,UI,Use Prompt,,,"Hold [43CF7C]{0}[-] to interact with [FFAD1F]{1}[-]",,"Halte [43CF7C]{0}[-] gedrückt, um mit [FFAD1F]{1}[-] zu interagieren","Mantén presionado [43CF7C]{0}[-] para interactuar con [FFAD1F]{1}[-]","Maintenir [43CF7C]{0}[-] pour interagir avec [FFAD1F]{1}[-]","Tieni premuto [43CF7C]{0}[-] per interagire con [FFAD1F]{1}[-]","[43CF7C]{0}[-]を長押しして、[FFAD1F]{1}[-]を操作する","[43CF7C]{0}[-]을(를) 꾹 눌러 [FFAD1F]{1}[-]과(와) 상호작용","Przytrzymaj [43CF7C]{0}[-], aby wejść w interakcję z: [FFAD1F]{1}[-]","Segure [43CF7C]{0}[-] para interagir com [FFAD1F]{1}[-]","[FFAD1F]{1}[-]: Для взаимодействия удерживайте [43CF7C]{0}[-]","[FFAD1F]{1}[-] ile etkileşim kurmak için [43CF7C]{0}[-] tuşunu basılı tut","按住[43CF7C]{0}[-]与[FFAD1F]{1}[-]互动","長按 [43CF7C]{0}[-] 與[FFAD1F]{1}[-]互動"
tooltipJammed,UI,Menu,,,"[43CF7C]{0}[-] Use {1} [FF5252](Jammed)",,"[43CF7C]{0}[-] Verwende {1} [FF5252](Blockiert)","[43CF7C]{0}[-] Usa {1} [FF5252](Atascado)","[43CF7C]{0}[-] pour utiliser {1} [FF5252](coincé(e))","[43CF7C]{0}[-] Usa {1} [FF5252](Inceppato)","[43CF7C]{0}[-] {1} を使用[FF5252] (固定)","[43CF7C]{0}[-] {1} 사용 [FF5252](혼잡)","[43CF7C]{0}[-] Użyj {1} [FF5252](zacięte)","[43CF7C]{0}[-] Usa {1} [FF5252](Emperrado)","[43CF7C]{0}[-] Использовать {1} [FF5252](заклинило)","[43CF7C]{0}[-] {1} Kullan [FF5252](Sıkışmış)","[43CF7C]{0}[-]使用{1} [FF5252]（挤满）","[43CF7C]{0}[-]用法{1}[FF5252]（已堵塞)"
tooltipLocked,UI,Menu,,,"[43CF7C]{0}[-] Use {1} [FF5252](Locked)",,"[43CF7C]{0}[-] Verwende {1} [FF5252](Verschlossen)","[43CF7C]{0}[-] Usa {1} [FF5252](Bloqueado)","[43CF7C]{0}[-] pour utiliser {1} [FF5252](verrouillé(e))","[43CF7C]{0}[-] Usa {1} [FF5252](Bloccato)","[43CF7C]{0}[-] {1} を使用 [FF5252](施錠済み)","[43CF7C]{0}[-] {1} 사용 [FF5252](잠김)","[43CF7C]{0}[-] Użyj {1} [FF5252](zablokowane)","[43CF7C]{0}[-] Usa {1} [FF5252](Trancado)","[43CF7C]{0}[-] Использовать {1} [FF5252](заперто)","[43CF7C]{0}[-] {1} Kullan [FF5252](Kilitli)","[43CF7C]{0}[-] 使用{1}[FF5252]（锁定）","[43CF7C]{0}[-]用法{1}[FF5252]（已鎖定)"
tooltipUnlocked,UI,Menu,,,"[43CF7C]{0}[-] Use {1} [43CF7C](Unlocked)",,"[43CF7C]{0}[-] Verwende {1} [43CF7C](Entriegelt)","[43CF7C]{0}[-] Usa {1} [43CF7C](Desbloqueado)","[43CF7C]{0}[-] pour utiliser {1} [43CF7C](déverrouillé(e))","[43CF7C]{0}[-] Usa {1} [43CF7C](Sbloccato)","[43CF7C]{0}[-] {1} を使用 [43CF7C](解錠済み)","[43CF7C]{0}[-] {1} 사용 [43CF7C](열림)","[43CF7C]{0}[-] Użyj {1} [43CF7C](odblokowane)","[43CF7C]{0}[-] Usa {1} [43CF7C](Destrancado)","[43CF7C]{0}[-] Использовать {1} [43CF7C](открыто)","[43CF7C]{0}[-] {1} Kullan [43CF7C](Kilidi Açık)","[43CF7C]{0}[-]使用{1} [43CF7C]（已解锁）","[43CF7C]{0}[-]用法{1}[43CF7C]（已解鎖)"
turretPickUp,UI,HUD,,,"[FFAD1F]Pick up Turret",,"[FFAD1F]Geschützturm aufheben","[FFAD1F]Torreta de recogida","[FFAD1F]Ramasser la tourelle","[FFAD1F]Raccogli torretta","[FFAD1F]砲塔を拾う","[FFAD1F]터렛 집어들기","[FFAD1F]Wybór wieżyczki","[FFAD1F]Pegar torreta","[FFAD1F]Подобрать пушку","[FFAD1F]Tareti yerden al","[FFAD1F]拾取炮塔","[FFAD1F]撿起炮塔"
useBlock,UI,Menu,,,"[43CF7C]{0}[-] Use [FFAD1F]{1}[-]",,"[43CF7C]{0}[-] Verwende [FFAD1F]{1}[-]","[43CF7C]{0}[-] Usa [FFAD1F]{1}[-]","[43CF7C]{0}[-] pour utiliser [FFAD1F]{1}[-]","[43CF7C]{0}[-] Usa [FFAD1F]{1}[-]","[43CF7C]{0}[-] [FFAD1F]{1}[-] を使用","[43CF7C]{0}[-] [FFAD1F]{1}[-] 사용","[43CF7C]{0}[-] Użyj [FFAD1F]{1}[-]","[43CF7C]{0}[-] Usa [FFAD1F]{1}[-]","[43CF7C]{0}[-] Использовать [FFAD1F]{1}[-]","[43CF7C]{0}[-] [FFAD1F]{1}[-] Kullan","[43CF7C]{0}[-]使用[FFAD1F]{1}[-]","[43CF7C]{0}[-]用法[FFAD1F]{1}[-]"
useCampfire,UI,HUD,,,"Press [43CF7C]{0}[-] to use",,"Zum Benutzen [43CF7C]{0}[-] drücken","Pulsa [43CF7C]{0}[-] para usar","Appuyer sur [43CF7C]{0}[-] pour utiliser","Premi [43CF7C]{0}[-] per usare","[43CF7C]{0}[-]を押して使う","[43CF7C]{0}[-]을(를) 눌러 사용","Przyciśnij [43CF7C]{0}[-], aby użyć","Aperte [43CF7C]{0}[-] para usar","Нажмите [43CF7C]{0}[-], чтобы использовать","Kullanmak için bas: [43CF7C]{0}[-]","按下[43CF7C]{0}[-]使用","按下 [43CF7C]{0}[-] 使用"
useForge,UI,HUD,,,"Press [43CF7C]{0}[-] to use",,"Zum Benutzen [43CF7C]{0}[-] drücken","Pulsa [43CF7C]{0}[-] para usar","Appuyer sur [43CF7C]{0}[-] pour utiliser","Premi [43CF7C]{0}[-] per usare","[43CF7C]{0}[-]を押して使う","[43CF7C]{0}[-]을(를) 눌러 사용","Przyciśnij [43CF7C]{0}[-], aby użyć","Aperte [43CF7C]{0}[-] para usar","Нажмите [43CF7C]{0}[-], чтобы использовать","Kullanmak için bas: [43CF7C]{0}[-]","按下[43CF7C]{0}[-]使用","按下 [43CF7C]{0}[-] 使用"
useSecureDoor,UI,HUD,,,"Press [43CF7C]{0}[-] to open",,"Zum Öffnen [43CF7C]{0}[-] drücken","Pulsa [43CF7C]{0}[-] para abrir","Appuyer sur [43CF7C]{0}[-] pour ouvrir","Premi [43CF7C]{0}[-] per aprire","[43CF7C]{0}[-]を押して開ける","[43CF7C]{0}[-]을(를) 눌러 열기","Przyciśnij [43CF7C]{0}[-], aby otworzyć","Aperte [43CF7C]{0}[-] para abrir","Нажмите [43CF7C]{0}[-], чтобы открыть","Açmak için bas: [43CF7C]{0}[-]","按下[43CF7C]{0}[-]打开","按下 [43CF7C]{0}[-] 打開"
useSwitchLightOff,UI,Menu,,,"[43CF7C]{0}[-] Switch light [FFAD1F]OFF[-]",,"[43CF7C]{0}[-] Licht ausschalten","[43CF7C]{0}[-] Apagar la luz","[43CF7C]{0}[-] Éteindre la lumière","[43CF7C]{0}[-] spegne le luci","[43CF7C]{0}[-] ライトをオフにする","[43CF7C]{0}[-] 조명 스위치 끄기","[43CF7C]{0}[-] Wył. światło","[43CF7C]{0}[-] Desligar luz","[43CF7C]{0}[-] Выключить свет","[43CF7C]{0}[-] Işığı kapat","[43CF7C]{0}[-]关灯","[43CF7C]{0}[-]關掉燈"
useSwitchLightOn,UI,Menu,,,"[43CF7C]{0}[-] Switch light [FFAD1F]ON[-]",,"[43CF7C]{0}[-] Licht einschalten","[43CF7C]{0}[-] Encender la luz","[43CF7C]{0}[-] Allumer la lumière","[43CF7C]{0}[-] accende le luci","[43CF7C]{0}[-] ライトをオンにする","[43CF7C]{0}[-] 조명 스위치 켜기","[43CF7C]{0}[-] Wł. światło","[43CF7C]{0}[-] Ligar luz","[43CF7C]{0}[-] Включить свет","[43CF7C]{0}[-] Işığı aç","[43CF7C]{0}[-]开灯","[43CF7C]{0}[-]打開燈"
useWorkstation,UI,HUD,,,"Press [43CF7C]{0}[-] to use",,"Zum Benutzen [43CF7C]{0}[-] drücken","Pulsa [43CF7C]{0}[-] para usar","Appuyer sur [43CF7C]{0}[-] pour utiliser","Premi [43CF7C]{0}[-] per usare","[43CF7C]{0}[-]を押して使う","[43CF7C]{0}[-]을(를) 눌러 사용","Przyciśnij [43CF7C]{0}[-], aby użyć","Aperte [43CF7C]{0}[-] para usar","Нажмите [43CF7C]{0}[-], чтобы использовать","Kullanmak için bas: [43CF7C]{0}[-]","按下[43CF7C]{0}[-]使用","按下 [43CF7C]{0}[-] 使用"
vendingMachineActivate,UI,Use Prompt,,,"[43CF7C]{0}[-] to interact with [FFAD1F]{1}[-]",,"Drücke [43CF7C]{0}[-], um mit [FFAD1F]{1}[-] zu interagieren","[43CF7C]{0}[-] para interactuar con [FFAD1F]{1}[-]","[43CF7C]{0}[-] pour interagir avec [FFAD1F]{1}[-]","[43CF7C]{0}[-] per interagire con [FFAD1F]{1}[-]","[43CF7C]{0}[-]で[FFAD1F]{1}[-]を操作する","[43CF7C]{0}[-](으)로 [FFAD1F]{1}[-]과(와) 상호작용","[43CF7C]{0}[-], aby wejść w interakcję z: [FFAD1F]{1}[-]","Aperte [43CF7C]{0}[-] para interagir com [FFAD1F]{1}[-]","[FFAD1F]{1}[-]: [43CF7C]{0}[-] для взаимодействия","[FFAD1F]{1}[-] ile etkileşim kurmak için [43CF7C]{0}[-]","[43CF7C]{0}[-]与[FFAD1F]{1}[-]互动","[43CF7C]{0}[-] 與[FFAD1F]{1}[-]互動"

quest_buried_supplies_response,Quest,Quest Info,,,"Buried Supplies ([DECEA3]{treasure.distance} {treasure.direction}[-])",,"Vergrabene Vorräte ([DECEA3]{treasure.distance} {treasure.direction}[-])","Suministros enterrados ([DECEA3]{treasure.distance} {treasure.direction}[-])","Provisions enterrées ([DECEA3]{treasure.distance} {treasure.direction}[-])","Provviste sepolte ([DECEA3]{treasure.distance} {treasure.direction}[-])","隠された補給品 ([DECEA3]{treasure.distance} {treasure.direction}[-])","땅에 묻힌 보급품 ([DECEA3]{treasure.distance} {treasure.direction}[-])","Zakopane zapasy ([DECEA3]{treasure.distance} {treasure.direction}[-])","Suprimentos enterrados ([DECEA3]{treasure.distance} {treasure.direction}[-])","Закопанные припасы ([DECEA3]{treasure.distance} {treasure.direction}[-])","Gömülü Malzemeler ([DECEA3]{treasure.distance} {treasure.direction}[-])","埋藏的补给（[DECEA3]{treasure.distance}{treasure.direction}[-]）","埋藏的物品（[DECEA3]{treasure.distance} {treasure.direction}[-]）"
quest_clear_response,Quest,Quest Info,,,"Clear Zombies ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]",,"Beseitige Zombies ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Elimina a los zombis[DECEA3]{poi.distance} {poi.direction}[-] [FFAD1F]{poi.name}[-]","Élimination des zombies ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Elimina gli zombie ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","ゾンビを一掃する ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","좀비 해치우기 ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Pozbądź się zombie ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Mate os zumbis ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Очистить от зомби ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Zombileri Temizle ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","清理丧尸（[DECEA3]{poi.distance}{poi.direction}[-]） [FFAD1F]{poi.name}[-]","消滅殭屍（[DECEA3]{poi.distance} {poi.direction}[-]） [FFAD1F]{poi.name}[-]"
quest_fetch_clear_response,Quest,Quest Info,,,"Fetch / Clear ([DECEA3]{poi.distance} {poi.direction}[-])  [FFAD1F]{poi.name}[-]",,"Abholen/Säubern ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Busca/limpia ([DECEA3]{poi.distance} {poi.direction}[-])  [FFAD1F]{poi.name}[-]","Récupération / Élimination ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Recupero/Eliminazione ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","回収 / 一掃 ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","가지고 오기 / 소탕하기 ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Transport / eliminacja ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Buscar / Limpar ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Принести/очистить ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Getirme / Temizleme ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","获取/清理（[DECEA3]{poi.distance}{poi.direction}[-]） [FFAD1F]{poi.name}[-]","取回 / 消滅（[DECEA3]{poi.distance} {poi.direction}[-]） [FFAD1F]{poi.name}[-]"
quest_fetch_response,Quest,Quest Info,,,"Fetch ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]",,"Abholen ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Busca ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Récupération ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Recupero ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","回収 ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","가지고 오기 ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Transport ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Buscar ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Принести ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","Getirme ([DECEA3]{poi.distance} {poi.direction}[-]) [FFAD1F]{poi.name}[-]","获取（[DECEA3]{poi.distance}{poi.direction}[-]） [FFAD1F]{poi.name}[-]","取回（[DECEA3]{poi.distance} {poi.direction}[-]） [FFAD1F]{poi.name}[-]"
